"used","x, 2theta (deg)","obs","calc","bkg","diff","diff/sigma","Axis-limits"
0,11.68,33536.7,0.0,0.0,-2622.26,183.1302814938043," "
0,11.69,33573.3,0.0,0.0,-2622.26,183.23018310311215," "
0,11.7,33906.7,0.0,0.0,-2622.26,184.1377201987686," "
0,11.71,34170.0,0.0,0.0,-2622.26,184.8512915832616," "
0,11.72,33813.3,0.0,0.0,-2622.26,183.88393078243678," "
0,11.73,33370.0,0.0,0.0,-2622.26,182.67457403809652," "
0,11.74,33520.0,0.0,0.0,-2622.26,183.08467986153292," "
0,11.75,33466.7,0.0,0.0,-2622.26,182.93906089187186," "
0,11.76,33863.3,0.0,0.0,-2622.26,184.01983588733037," "
0,11.77,33633.3,0.0,0.0,-2622.26,183.3938385006432," "
0,11.78,34620.0,0.0,0.0,-2622.26,186.06450494385004," "
0,11.79,33980.0,0.0,0.0,-2622.26,184.33664855367203," "
0,11.8,34046.7,0.0,0.0,-2622.26,184.51747884685614," "
0,11.81,33966.7,0.0,0.0,-2622.26,184.30056972239666," "
0,11.82,34160.0,0.0,0.0,-2622.26,184.82424083436675," "
0,11.83,33983.3,0.0,0.0,-2622.26,184.34559935078462," "
0,11.84,34146.7,0.0,0.0,-2622.26,184.78825720266966," "
0,11.85,33730.0,0.0,0.0,-2622.26,183.65728953678914," "
0,11.86,33853.3,0.0,0.0,-2622.26,183.99266289719273," "
0,11.87,33943.3,0.0,0.0,-2622.26,184.23707553041544," "
0,11.88,33793.3,0.0,0.0,-2622.26,183.82954060759658," "
0,11.89,33676.7,0.0,0.0,-2622.26,183.51212494001587," "
0,11.9,34493.3,0.0,0.0,-2622.26,185.72371954061228," "
0,11.91,34350.0,0.0,0.0,-2622.26,185.3375299285064," "
0,11.92,34266.7,0.0,0.0,-2622.26,185.11266839414313," "
0,11.93,34493.3,0.0,0.0,-2622.26,185.72371954061228," "
0,11.94,34103.3,0.0,0.0,-2622.26,184.67078816098663," "
0,11.95,34256.7,0.0,0.0,-2622.26,185.0856558461514," "
0,11.96,34033.3,0.0,0.0,-2622.26,184.48116435018508," "
0,11.97,33780.0,0.0,0.0,-2622.26,183.79336223052235," "
0,11.98,34360.0,0.0,0.0,-2622.26,185.36450577173616," "
0,11.99,34780.0,0.0,0.0,-2622.26,186.49396773086255," "
0,12.0,34230.0,0.0,0.0,-2622.26,185.01351301999537," "
0,12.01,34853.3,0.0,0.0,-2622.26,186.690385397856," "
0,12.02,34350.0,0.0,0.0,-2622.26,185.3375299285064," "
0,12.03,34650.0,0.0,0.0,-2622.26,186.14510468986288," "
0,12.04,34886.7,0.0,0.0,-2622.26,186.77981689679427," "
0,12.05,34883.3,0.0,0.0,-2622.26,186.77071504922822," "
0,12.06,34920.0,0.0,0.0,-2622.26,186.86893802876926," "
0,12.07,34236.7,0.0,0.0,-2622.26,185.03161891957816," "
0,12.08,35060.0,0.0,0.0,-2622.26,187.2431574183687," "
0,12.09,35143.3,0.0,0.0,-2622.26,187.46546348594453," "
0,12.1,35470.0,0.0,0.0,-2622.26,188.33480825381164," "
0,12.11,34760.0,0.0,0.0,-2622.26,186.4403389827427," "
0,12.12,34840.0,0.0,0.0,-2622.26,186.6547615251216," "
0,12.13,34736.7,0.0,0.0,-2622.26,186.37784203064484," "
0,12.14,35076.7,0.0,0.0,-2622.26,187.28774652923772," "
0,12.15,34270.0,0.0,0.0,-2622.26,185.1215816699933," "
0,12.16,34750.0,0.0,0.0,-2622.26,186.41351882307248," "
0,12.17,34550.0,0.0,0.0,-2622.26,185.87630295441105," "
0,12.18,35323.3,0.0,0.0,-2622.26,187.94493874536766," "
0,12.19,35113.3,0.0,0.0,-2622.26,187.3854316642572," "
0,12.2,34206.7,0.0,0.0,-2622.26,184.95053392731796," "
0,12.21,34330.0,0.0,0.0,-2622.26,185.28356645962964," "
0,12.22,34196.7,0.0,0.0,-2622.26,184.92349769566871," "
0,12.23,34476.7,0.0,0.0,-2622.26,185.6790241249668," "
0,12.24,34543.3,0.0,0.0,-2622.26,185.85827934208365," "
0,12.25,34506.7,0.0,0.0,-2622.26,185.7597911282202," "
0,12.26,34493.3,0.0,0.0,-2622.26,185.72371954061228," "
0,12.27,33853.3,0.0,0.0,-2622.26,183.99266289719273," "
0,12.28,34873.3,0.0,0.0,-2622.26,186.7439423381653," "
0,12.29,34610.0,0.0,0.0,-2622.26,186.03763060198332," "
0,12.3,34480.0,0.0,0.0,-2622.26,185.68791021496256," "
0,12.31,34930.0,0.0,0.0,-2622.26,186.89569283426516," "
0,12.32,34600.0,0.0,0.0,-2622.26,186.01075237738274," "
0,12.33,34756.7,0.0,0.0,-2622.26,186.4314887565939," "
0,12.34,34450.0,0.0,0.0,-2622.26,185.60711193270583," "
0,12.35,34216.7,0.0,0.0,-2622.26,184.9775662073647," "
0,12.36,34426.7,0.0,0.0,-2622.26,185.54433432471066," "
0,12.37,34280.0,0.0,0.0,-2622.26,185.14858897652988," "
0,12.38,34340.0,0.0,0.0,-2622.26,185.31055015837603," "
0,12.39,34973.3,0.0,0.0,-2622.26,187.01149697277975," "
0,12.4,35286.7,0.0,0.0,-2622.26,187.84754456739648," "
0,12.41,34526.7,0.0,0.0,-2622.26,185.81361629331687," "
0,12.42,35456.7,0.0,0.0,-2622.26,188.29949548525082," "
0,12.43,34716.7,0.0,0.0,-2622.26,186.32417985865385," "
0,12.44,34626.7,0.0,0.0,-2622.26,186.08250858154292," "
0,12.45,34830.0,0.0,0.0,-2622.26,186.62797217994947," "
0,12.46,34600.0,0.0,0.0,-2622.26,186.01075237738274," "
0,12.47,34700.0,0.0,0.0,-2622.26,186.27936010197158," "
0,12.48,34666.7,0.0,0.0,-2622.26,186.18995676459028," "
0,12.49,34276.7,0.0,0.0,-2622.26,185.13967700090654," "
0,12.5,34886.7,0.0,0.0,-2622.26,186.77981689679427," "
0,12.51,34930.0,0.0,0.0,-2622.26,186.89569283426516," "
0,12.52,34556.7,0.0,0.0,-2622.26,185.89432481923703," "
0,12.53,34550.0,0.0,0.0,-2622.26,185.87630295441105," "
0,12.54,34813.3,0.0,0.0,-2622.26,186.58322539821205," "
0,12.55,35026.7,0.0,0.0,-2622.26,187.1542144863428," "
0,12.56,35016.7,0.0,0.0,-2622.26,187.12749664333137," "
0,12.57,35383.3,0.0,0.0,-2622.26,188.1044922376922," "
0,12.58,35176.7,0.0,0.0,-2622.26,187.5545254052805," "
0,12.59,35286.7,0.0,0.0,-2622.26,187.84754456739648," "
0,12.6,34630.0,0.0,0.0,-2622.26,186.09137540466511," "
0,12.61,34976.7,0.0,0.0,-2622.26,187.0205871020621," "
0,12.62,35483.3,0.0,0.0,-2622.26,188.370114402471," "
0,12.63,34936.7,0.0,0.0,-2622.26,186.91361641143214," "
0,12.64,34773.3,0.0,0.0,-2622.26,186.4760038181857," "
0,12.65,34666.7,0.0,0.0,-2622.26,186.18995676459028," "
0,12.66,35370.0,0.0,0.0,-2622.26,188.06913622388973," "
0,12.67,34993.3,0.0,0.0,-2622.26,187.06496197845283," "
0,12.68,35203.3,0.0,0.0,-2622.26,187.62542471637474," "
0,12.69,35096.7,0.0,0.0,-2622.26,187.34113269647966," "
0,12.7,35616.7,0.0,0.0,-2622.26,188.72387236383213," "
0,12.71,35136.7,0.0,0.0,-2622.26,187.44785941695892," "
0,12.72,35333.3,0.0,0.0,-2622.26,187.97154039907213," "
0,12.73,35340.0,0.0,0.0,-2622.26,187.9893614011176," "
0,12.74,35596.7,0.0,0.0,-2622.26,188.670877455955," "
0,12.75,35363.3,0.0,0.0,-2622.26,188.05132278184058," "
0,12.76,35363.3,0.0,0.0,-2622.26,188.05132278184058," "
0,12.77,35663.3,0.0,0.0,-2622.26,188.84729280558935," "
0,12.78,35706.7,0.0,0.0,-2622.26,188.96216552527122," "
0,12.79,35606.7,0.0,0.0,-2622.26,188.69737677031972," "
0,12.8,35333.3,0.0,0.0,-2622.26,187.97154039907213," "
0,12.81,35856.7,0.0,0.0,-2622.26,189.35865441009028," "
0,12.82,35416.7,0.0,0.0,-2622.26,188.19325173873796," "
0,12.83,35453.3,0.0,0.0,-2622.26,188.29046709804507," "
0,12.84,35380.0,0.0,0.0,-2622.26,188.09572031282372," "
0,12.85,35553.3,0.0,0.0,-2622.26,188.5558272766981," "
0,12.86,35660.0,0.0,0.0,-2622.26,188.8385553852814," "
0,12.87,35723.3,0.0,0.0,-2622.26,189.00608455814327," "
0,12.88,35193.3,0.0,0.0,-2622.26,187.59877398320066," "
0,12.89,35756.7,0.0,0.0,-2622.26,189.09442085899838," "
