"used","x, 2theta (deg)","obs","calc","bkg","diff","Gd1.5Mn0.25Zr2.25O7","tick-pos","diff/sigma","Axis-limits"
1,60.38,15303.3,15023.577870698966,15015.569000625304,-2342.537870698967," "," ",2.261175543100363," "
1,60.39,15680.0,15023.551178588808,15015.495793348371,-1965.8111785888086," "," ",5.242372101518014," "
1,60.4,15500.0,15023.52620348447,15015.422945453773,-2145.786203484471," "," ",3.8271296307682907," "
1,60.41,15623.3,15023.502983016155,15015.350455274076,-2022.4629830161557," "," ",4.798637188834662," "
1,60.42,15386.7,15023.481556194662,15015.278321137788,-2259.041556194661," "," ",2.928162336616," "
1,60.43,15546.7,15023.461962838937,15015.20654136939,-2099.021962838937," "," ",4.196432083291681," "
1,60.44,15340.0,15023.444245149447,15015.135114289327,-2305.704245149447," "," ",2.555862779095812," "
1,60.45,15630.0,15023.42844833241,15015.064038214032,-2015.6884483324102," "," ",4.85179618804369," "
1,60.46,15403.3,15023.41461751492,15014.993311455926,-2242.374617514921," "," ",3.060875715637807," "
1,60.47,15073.3,15023.40280016761,15014.922932323458,-2572.3628001676116," "," ",0.4064171282686236," "
1,60.48,15366.7,15023.393047121135,15014.852899121102,-2278.9530471211347," "," ",2.7694421182805953," "
1,60.49,15686.7,15023.385409939769,15014.783210149359,-1958.945409939768," "," ",5.2960704613494896," "
1,60.5,15406.7,15023.37994280407,15014.713863704783,-2238.939942804069," "," ",3.0882093338551084," "
1,60.51,15240.0,15023.376703617463,15014.644858080008,-2405.6367036174634," "," ",1.7547395985640697," "
1,60.52,15010.0,15023.375750299689,15014.576191563723,-2635.635750299689," "," ",-0.10917615788108213," "
1,60.53,15266.7,15023.37714621839,15014.507862440725,-2378.93714621839," "," ",1.9692929023031922," "
1,60.54,15006.7,15023.380955558088,15014.43986899192,-2638.940955558088," "," ",-0.13616902411095314," "
1,60.55,15533.3,15023.387246281649,15014.372209494311,-2112.34724628165," "," ",4.091325281124547," "
1,60.56,14576.7,15023.396088607842,15014.30488222105,-3068.9560886078416," "," ",-3.6998365791487453," "
1,60.57,15313.3,15023.407557489578,15014.237885441436,-2332.3675574895788," "," ",2.342623513322918," "
1,60.58,14983.3,15023.421730113605,15014.171217420915,-2662.381730113606," "," ",-0.32777506685391744," "
1,60.59,15273.3,15023.438688148944,15014.104876421121,-2372.3986881489454," "," ",2.0217738484985683," "
1,60.6,15613.3,15023.458516368868,15014.038860699857,-2032.418516368869," "," ",4.720499555055253," "
1,60.61,15206.7,15023.481303186785,15013.973168511146,-2439.0413031867847," "," ",1.4857724483874228," "
1,60.62,15516.7,15023.507143473247,15013.907798105203,-2129.0671434732467," "," ",3.959288019816762," "
1,60.63,14983.3,15023.536133774776,15013.842747728499,-2662.4961337747773," "," ",-0.3287096892538633," "
1,60.64,15046.7,15023.568377577029,15013.77801562372,-2599.128377577028," "," ",0.18857558499362356," "
1,60.65,15013.3,15023.603981271628,15013.713600029829,-2632.563981271629," "," ",-0.08409438120043015," "
1,60.66,15223.3,15023.643059901198,15013.649499182047,-2422.6030599011992," "," ",1.6181918441244578," "
1,60.67,15163.3,15023.685731906595,15013.58571131189,-2482.6457319065958," "," ",1.1337908302778184," "
1,60.68,15210.0,15023.732120932393,15013.522234647166,-2435.992120932393," "," ",1.5103352635447176," "
1,60.69,15376.7,15023.782357869582,15013.459067411988,-2269.342357869582," "," ",2.846045234110096," "
1,60.7,15530.0,15023.836582615811,15013.396207826821,-2116.0965826158117," "," ",4.061673652431522," "
1,60.71,15316.7,15023.894938582254,15013.333654108443,-2329.454938582254," "," ",2.3658977790561404," "
1,60.72,15453.3,15023.957577705418,15013.271404470017,-2192.917577705419," "," ",3.453768182597085," "
