used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,tick-pos,diff/sigma,Axis-limits
1,20.45,20916.7,20457.483270266173,20457.483270266173,-1584.98327, , ,172.97398648351722, 
1,20.46,20756.7,20454.441419016177,20454.441419016177,-1741.941419, , ,171.94970194798245, 
1,20.47,20873.3,20451.39946571283,20451.39946571283,-1622.299466, , ,174.11691474408798, 
1,20.48,21010,20448.357412691716,20448.357412691716,-1482.557413, , ,173.31099214994993, 
1,20.49,20993.3,20445.315262286105,20445.315262286105,-1496.215262, , ,174.63304383764262, 
1,20.5,20970,20442.273016826926,20442.273016826926,-1516.473017, , ,174.48008482345483, 
1,20.51,20943.3,20439.23068,20439.23068,-1540.130679, , ,173.37819932159866, 
1,20.52,20850,20436.18825006002,20436.18825006002,-1630.38825, , ,172.34645340128122, 
1,20.53,20763.3,20433.145733402573,20433.145733402573,-1714.045733, , ,172.05609550376295, 
1,20.54,21103.3,20430.103130992113,20430.103130992113,-1371.003131, , ,172.95461832515488, 
1,20.55,21026.7,20427.060445147996,20427.060445147996,-1444.560445, , ,174.43250843807755, 
1,20.56,20573.3,20424.017678187243,20424.017678187243,-1894.917678, , ,175.54685984089832, 
1,20.57,20670,20420.974832424574,20420.974832424574,-1795.174832, , ,174.77614253667463, 
1,20.58,20570,20417.93191017239,20417.93191017239,-1892.13191, , ,173.74320130583527, 
1,20.59,20450,20414.888913740764,20414.888913740764,-2009.088914, , ,175.77457153979924, 
1,20.6,20446.7,20411.84584543749,20411.84584543749,-2009.345845, , ,174.4133022449836, 
1,20.61,20586.7,20408.802707568022,20408.802707568022,-1866.302708, , ,174.5184803967763, 
1,20.62,20676.7,20405.75950243551,20405.75950243551,-1773.259502, , ,175.04285189632853, 
1,20.63,20373.3,20402.71623234081,20402.71623234081,-2073.616232, , ,175.90707774276734, 
1,20.64,20486.7,20399.672899582427,20399.672899582427,-1957.1729, , ,174.39409393669268, 
1,20.65,20333.3,20396.62950645661,20396.62950645661,-2107.529506, , ,174.9762841073041, 
1,20.66,20540,20393.586055257267,20393.586055257267,-1897.786055, , ,175.52777557982097, 
1,20.67,20856.7,20390.542548276007,20390.542548276007,-1578.042548, , ,175.1285242329187, 
1,20.68,20653.3,20387.498987802148,20387.498987802148,-1778.398988, , ,176.25748211068944, 
1,20.69,20933.3,20384.45537612267,20384.45537612267,-1495.355376, , ,176.26684316683045, 
1,20.7,20650,20381.41171552228,20381.41171552228,-1775.611716, , ,176.68248356868884, 
1,20.71,20326.7,20378.36800828338,20378.36800828338,-2095.868008, , ,176.9087335322934, 
1,20.72,20560,20375.324256686043,20375.324256686043,-1859.524257, , ,176.84258536902246, 
1,20.73,20463.3,20372.28046300807,20372.28046300807,-1953.180463, , ,176.0681686165901, 
1,20.74,20526.7,20369.236629524945,20369.236629524945,-1886.73663, , ,175.91674167059824, 
1,20.75,20666.7,20366.192758509853,20366.192758509853,-1743.692759, , ,175.85988741040407, 
1,20.76,20660,20363.148852233702,20363.148852233702,-1747.348852, , ,176.42760554969848, 
1,20.77,20040,20360.104912965067,20360.104912965067,-2364.304913, , ,176.02073741465804, 
