used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,Gd3Fe5O12,tick-pos,diff/sigma,Axis-limits
1,20.76,20660,20365.514116001243,20363.148852233702,-1749.714116, , , ,176.42760554969848, 
1,20.77,20040,20362.407997468927,20360.104912965067,-2366.607997, , , ,176.02073741465804, 
1,20.78,20153.3,20359.304593864854,20357.06094297024,-2250.204594, , , ,176.5502761255275, 
1,20.79,20406.7,20356.20375014148,20354.01694451324,-1993.70375, , , ,177.22866585290313, 
1,20.8,20403.3,20353.105323203396,20350.972919855754,-1994.005323, , , ,176.21946544011533, 
1,20.81,20446.7,20350.009179143202,20347.928871257198,-1947.509179, , , ,175.73645040229985, 
1,20.82,20416.7,20346.915194314373,20344.88480097468,-1974.415194, , , ,175.97357756208743, 
1,20.83,20706.7,20343.823252578288,20341.84071126303,-1681.323253, , , ,175.52777557982097, 
1,20.84,20493.3,20340.73324638081,20338.79660437477,-1891.633246, , , ,175.87865134802462, 
1,20.85,19910,20337.64508,20335.752482560147,-2471.845075, , , ,175.9354995445774, 
1,20.86,20326.7,20334.558645402645,20332.70834806711,-2052.058645, , , ,175.58473737771172, 
1,20.87,20340,20331.47386885104,20329.664203141307,-2035.673869, , , ,176.4559435099878, 
1,20.88,20383.3,20328.390663931164,20326.620050026122,-1989.290664, , , ,176.32356620712955, 
1,20.89,20290,20325.308953673244,20323.57589096263,-2079.508954, , , ,176.5879384329519, 
1,20.9,20550,20322.228666536703,20320.53172818963,-1816.428667, , , ,177.4260409, 
1,20.91,20253.3,20319.14973467043,20317.487563943625,-2110.049735, , , ,176.22911223745072, 
1,20.92,20246.7,20316.072095626452,20314.44340045885,-2113.572096, , , ,177.7450421249493, 
1,20.93,20033.3,20312.995689431802,20311.399239967242,-2323.895689, , , ,178.0542052297558, 
1,20.94,20383.3,20309.92046122234,20308.355084698458,-1970.820461, , , ,177.39785793520733, 
1,20.95,20180,20306.846358296032,20305.31093687987,-2171.046358, , , ,176.43695757975425, 
1,20.96,20470,20303.773331640325,20302.266798736564,-1877.973332, , , ,178.4469108726738, 
1,20.97,20260,20300.701334952406,20299.222672491363,-2084.901335, , , ,176.3519209, 
1,20.98,19913.3,20297.630324963284,20296.178560364795,-2428.530325, , , ,177.44492103185144, 
1,20.99,20013.3,20294.56026065549,20293.13446457511,-2325.460261, , , ,178.1010948871455, 
1,21,20110,20291.491103363667,20290.090387338285,-2225.691103, , , ,178.2040964736782, 
1,21.01,20000,20288.42281694219,20287.046330868012,-2332.622817, , , ,176.47464407103928, 
1,21.02,20046.7,20285.355366971704,20284.00229737571,-2282.855367, , , ,177.88563741910139, 
1,21.03,20126.7,20282.288721329078,20280.95828907053,-2199.788721, , , ,176.72945425140657, 
1,21.04,20673.3,20279.22284924491,20277.91430815934,-1650.122849, , , ,177.54802167301105, 
1,21.05,20383.3,20276.157722145446,20274.870356846728,-1937.057722, , , ,179.22974083561022, 
1,21.06,20603.3,20273.09331267283,20271.82643733502,-1713.993313, , , ,177.56688880531752, 
1,21.07,20550,20270.029595310945,20268.78255182426,-1764.229595, , , ,178.58695361083912, 
1,21.08,20720,20266.966545621755,20265.738702512237,-1591.166546, , , ,178.04493814764857, 
1,21.09,20380,20263.90414084131,20262.694891594445,-1928.104141, , , ,177.7357589231835, 
1,21.1,19796.7,20260.84235895592,20259.65112126413,-2508.342359, , , ,179.35077362531783, 
1,21.11,20236.7,20257.781179666967,20256.607393712253,-2065.28118, , , ,179.8146267687921, 
1,21.12,20096.7,20254.72058338884,20253.563711127525,-2202.220583, , , ,179.05306476014312, 
1,21.13,20466.7,20251.66055197533,20250.520075696368,-1829.160552, , , ,177.7638883463118, 
1,21.14,20230,20248.60106771755,20247.476489602952,-2062.801068, , , ,179.09020073694708, 
1,21.15,20270,20245.542114409374,20244.432955029177,-2019.742114, , , ,178.99720668211557, 
1,21.16,20046.7,20242.48367626336,20241.38947415468,-2239.983676, , , ,177.89519386425258, 
1,21.17,19633.3,20239.42574,20238.34604915684,-2650.325739, , , ,178.81079385764158, 
1,21.18,19993.3,20236.368287091205,20235.302682210753,-2287.268287, , , ,179.13681921927719, 
